Match No,Date,Ground Name,Team1,Team2,Winning Team,Margin
1,"March 31, 2023",Ahmedabad,OMA,ZIM,Titans,5 wickets (with 4 balls remaining)
2,"April 01, 2023",Mohali,NEPAL,UAE,Punjab Kings,7 runs (DLS method)
3,"April 01, 2023",Lucknow,NED,SL,Super Giants,50 runs
4,"April 02, 2023",Hyderabad,USA,IRE,Royals,72 runs
5,"April 02, 2023",Bengaluru,RWN,BOT,RCB,8 wickets (with 22 balls remaining)
6,"April 03, 2023",Chennai,Kenya,Uganda,Super Kings,12 runs
7,"April 04, 2023",Delhi,AUS,IND,Titans,6 wickets (with 11 balls remaining)
8,"April 05, 2023",Guwahati,HANTS,LANCS,Punjab Kings,5 runs
9,"April 06, 2023",Eden Gardens,ESSEX,SOM,KKR,81 runs
10,"April 07, 2023",Lucknow,WARKS,NOTTS,Super Giants,5 wickets (with 24 balls remaining)
11,"April 08, 2023",Guwahati,KENT,SURR,Royals,57 runs
12,"April 08, 2023",Wankhede,GLAM,DURH,Super Kings,7 wickets (with 11 balls remaining)
13,"April 09, 2023",Ahmedabad,GLOUC,LEICS,KKR,3 wickets (with 0 balls remaining)
14,"April 09, 2023",Hyderabad,DERBS,YORKS,Sunrisers,8 wickets (with 17 balls remaining)
15,"April 10, 2023",Bengaluru,SUSS,WORCS,Super Giants,1 wicket (with 0 balls remaining)
16,"April 11, 2023",Delhi,Chennai Super Kings,Gujarat Titans,Mumbai,6 wickets (with 0 balls remaining)
17,"April 12, 2023",Chennai,Punjab Kings,Kolkata Knight Riders,Royals,3 runs
18,"April 13, 2023",Mohali,Lucknow Super Giants,Delhi Capitals,Titans,6 wickets (with 1 ball remaining)
19,"April 14, 2023",Eden Gardens,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers,23 runs
20,"April 15, 2023",Bengaluru,Mumbai Indians,Royal Challengers Bangalore,RCB,23 runs
21,"April 15, 2023",Lucknow,Chennai Super Kings,Lucknow Super Giants,Punjab Kings,2 wickets (with 3 balls remaining)
22,"April 16, 2023",Wankhede,Delhi Capitals,Gujarat Titans,Mumbai,5 wickets (with 14 balls remaining)
23,"April 16, 2023",Ahmedabad,Punjab Kings,Rajasthan Royals,Royals,3 wickets (with 4 balls remaining)
24,"April 17, 2023",Bengaluru,Kolkata Knight Riders,Royal Challengers Bangalore,Super Kings,8 runs
25,"April 18, 2023",Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,Mumbai,14 runs
26,"April 19, 2023",Jaipur,Rajasthan Royals,Delhi Capitals,Super Giants,10 runs
27,"April 20, 2023",Mohali,Mumbai Indians,Chennai Super Kings,RCB,24 runs
28,"April 20, 2023",Delhi,Gujarat Titans,Kolkata Knight Riders,Capitals,4 wickets (with 4 balls remaining)
29,"April 21, 2023",Chennai,Punjab Kings,Sunrisers Hyderabad,Super Kings,7 wickets (with 8 balls remaining)
30,"April 22, 2023",Lucknow,Royal Challengers Bangalore,Lucknow Super Giants,Titans,7 runs
31,"April 22, 2023",Wankhede,Delhi Capitals,Mumbai Indians,Punjab Kings,13 runs
32,"April 23, 2023",Bengaluru,Rajasthan Royals,Chennai Super Kings,RCB,7 runs
33,"April 23, 2023",Eden Gardens,Punjab Kings,Gujarat Titans,Super Kings,49 runs
