url,title,date,description,category,categoryId,content,source,source_url,countries,createdAt,updatedAt,thumbnail
https://www.fairpricegroup.com.sg/media-and-reports/press-releases/fairprice-group-to-augment-governments-latest-cost-of-living-cash-payouts/,FairPrice Group to augment Government’s latest cost-of-living cash payouts,16 June 2023,"Three months’ worth of stackable discounts on fresh and frozen food, daily essentials and personal and household products,50 cents Kopi and Teh available for Link members using the FairPrice Group App to pay across participating Kopitiam outlets till 3 August.",Press Releases,Uncategorized,"Singapore, 16 June 2023 ,– FairPrice Group (FPG) is leaving no stone unturned when helping customers cope with the unprecedented rising cost of living. FPG announced that from 15 June to 13 September, customers would be able to tap into over $2,000 worth of savings each through its Save Every Day campaign. ,Vipul Chawla, Group CEO, FairPrice Group,, said, “FPG’s Save Every Day campaign helps Singaporeans stretch their dollar.  Moderating the cost of living is FPG’s first order of business. We understand the pressures of inflation on household incomes and remain committed to keeping food and daily essentials readily available and within reach for all our customers.”,The Save Every Day campaign offers up to 400 discount coupons on a wide range of daily essentials and can be used over and above existing promotions, discounts, and member rebates. Customers can collect physical coupons in-store or activate the vouchers for purchases made online and on the FPG app.,In its third run, it is expected that more shoppers will shop both in stores and online, and via the FPG app. With inflation inching up steadily, the Save Every Day campaign saw a steady increase in redemptions from 184,000 in 2021 to 230,000 in 2022. This year, with food inflation hovering around seven per cent, FPG expects even more customers to utilise the coupons during the three-month programme across selected fresh and frozen food, daily essentials, personal and household products, and even food items at participating Kopitiam outlets.,In addition to savings from the Save Every Day campaign, FairPrice Group app users can also look out for deals via the 50 days of savings campaign from 15 June to 3 August 2023. Users can enjoy savings when buying FairPrice Housebrand products, online grocery shopping and redeeming rewards – all within the FairPrice Group app. FPG will also extend its popular 50cents kopi and teh to users who use the FairPrice Group app to pay at participating Kopitiam outlets through to 3 August. ,Both the Save Every Day campaign and 50 days of savings campaign follow FPG’s May Day 2023 offerings where savings and discounts worth up to $2 million were rolled out to all union members and Link members.,Goh Yen Ting, 37 years old, is an office worker who uses the FairPrice Group app at least once a week while on her grocery runs. “It’s very convenient to shop and pay with the FairPrice Group app. Although I only shop for groceries once a week, I’m really grateful for the discounts offered on essentials and also for my favourite tea-time kueh and 50 cents kopi.”,In 2022, FPG’s value programmes for customers provided savings of $11.5 million. These discounts at FairPrice supermarkets continue into 2023: ,To help Singaporeans cope with the higher cost of living and cushion the impact of the GST increase, the Government has been rolling out support measures such as Cost of Living cash payouts and the GST Voucher Scheme. Singaporeans can visit go.gov.sg/assurancepackage to check on their eligibility.,###",fairpricegroup.com.sg,https://www.fairpricegroup.com.sg/media-and-reports/press-releases/,sg,2023-07-08 18:19:58.889541,2023-07-08 18:19:58.889541,thumbnail
https://www.fairpricegroup.com.sg/media-and-reports/press-releases/socially-conscious-enterprise-hawker-centre-managed-by-kopitiam-served-more-than-1-million-meals-since-its-opening-in-december-2022/,Socially-conscious enterprise hawker centre managed by Kopitiam served more than 1 million meals since its opening in December 2022,13 June 2023,"Launch of community social space, Zhenghua Connects, to better engage residents through various activities such as gardening and reading",Press Releases,Uncategorized,"SINGAPORE, 10 June 2023 ,– Kopitiam, part of the FairPrice Group (FPG) today announced that since the soft opening of Senja Hawker Centre in late 2022, it has served more than 1 million meals within its sixth month of operations. Since then, the hawker centre has also enjoyed good footfall.,The socially-conscious enterprise hawker centre honours its purpose of ensuring sustainability within the hawker trade with the launch of community social space ,Zhenghua Connects,. The official opening was graced by Guest-of-Honour, Dr Vivian Balakrishnan, Minister for Foreign Affairs and Advisor to Holland-Bukit Timah GRC. Other guests include Advisers to Holland-Bukit Timah GRC Ms Sim Ann and Mr Edward Chia, and Adviser to Bukit Panjang SMC Mr Liang Eng Hwa.,Senja Hawker Centre’s footfall is set to increase with this new launch. Zhenghua Connects includes an event plaza, a community garden and a community library, all situated within Senja Hawker Centre. The event plaza had hosted more than 20 community events since December 2022. They include Digital Clinics for senior citizens by the Infocomm Media Development Authority and Food Rescue fairs. Residents can expect more of such activities which bring vibrancy to the community.  FPG will work closely with grassroots organisations and the People’s Association to bring more of such activities to residents. Upcoming activities include fitness activities, community performances and weekend markets. ,Vipul Chawla, Group CEO, FairPrice Group, ,said, “Hawker centres are an integral part of our lives in Singapore, providing fast, tasty, nutritious and affordable food to all. While FairPrice Group continues on our social mission to moderate the cost of living, we are also dedicated to bringing communities together in meaningful ways such as fostering co-creation of community activities at our hawker centres. With the launch of Zhenghua Connects at Senja Hawker Centre, we are creating community opportunities and experiences around food for residents and businesses.”,Nurturing urban farming at the Community Garden @ Level 3,In an effort to promote sustainable living practices in the community, Kopitiam is working with City Sprouts to launch the Senja Urban Farm Project – an edible community rooftop garden. To kickstart the project, Kopitiam is partnering with West Spring Secondary School to conduct a series of gardening courses for their students to hone their green thumbs. Residents can also look forward to signing up and participating in activities and classes to be held at the garden.,Information on upcoming activities can be found on Kopitiam’s Facebook page or gleaned from digital screens within Senja Hawker Centre.,Ground-up Community Library to foster reading,In addition to the mentioned features, Senja Hawker Centre also has a community library, initiated by Zhenghua Citizens’ Consultative Committee. The library is dedicated to promoting the joy of reading among residents and fostering sustainability by encouraging book donations and promoting a circular economy mindset.,###,About FairPrice Group,FairPrice Group was established in 2019 through the formation of four entities comprising NTUC FairPrice, Kopitiam, NTUC Foodfare and NTUC Link, with the purpose of making life better for all and to fulfil a vision of being a leader in everything food. FairPrice Group looks to optimise the resources of all four social enterprises and leverage their respective strengths to put customers first, provide better value for all and to make everything about food easy.,With an extensive network of close to 570 touchpoints, FairPrice Group seeks to provide an integrated array of products and services, from groceries, ready-to-cook, and ready-to-eat offerings, to on-premise meals, food take-aways, and a rewards programme that delivers personalised and delightful experiences.,For more information on FairPrice Group, visit, ,www.fairpricegroup.com.sg,.,About Kopitiam,Since 1988, Kopitiam has established itself as the market leader in the local F&B industry with an impressive portfolio of 77 outlets island-wide, that includes the iconic Lau Pa Sat Festival Market. Each strategically located outlet offers convenience, a comfortable dining setting with a wide variety of affordable and delectable food choices to provide a holistic dining experience for our patrons. A pioneer in cashless dining, Kopitiam is constantly innovating with the implementation of technological initiatives and rewards programmes to increase productivity and promote social graciousness. With the formation of FairPrice Group, Kopitiam as a social enterprise was repositioned as the B2C brand managing coffee shops, food courts, hawker centre management and other retail food establishments.,About City Sprouts, City Sprouts is a social enterprise that aims to inspire and rejuvenate urban communities through sprouting green spaces and programs. An awardee of SG Eco Fund 2021 and member of raiSE, City Sprouts redevelop and transform defunct spaces into an urban farming concept. Through its curated space activation and programs, City Sprouts hopes to educate and inspire the community to be more aware and engaged in social and environmental issues together.",fairpricegroup.com.sg,https://www.fairpricegroup.com.sg/media-and-reports/press-releases/,sg,2023-07-08 18:19:59.403248,2023-07-08 18:19:59.403248,thumbnail
https://www.fairpricegroup.com.sg/media-and-reports/press-releases/fairprice-group-tackles-hunger-and-food-insecurity-in-singapore-one-linkpoint-at-a-time/,FairPrice Group tackles hunger and food insecurity in Singapore one Linkpoint at a time,12 June 2023,FairPrice Group customers empowered to donate their Linkpoints to two local food-related charities through the FairPrice Group app from now to 31 December 2023,Press Releases,Uncategorized,"Singapore, 12 June 2023 –  ,FairPrice Group (FPG) today announced that customers may now donate their accumulated Linkpoints to charity via a new function within the FPG app. Through the Rewards tab on the app, users can now donate their Linkpoints to Food Bank Singapore (FBSG) and Food From The Heart (FFTH), charities that aim to alleviate hunger in Singapore. ,While Singapore is one of the most prosperous nations globally, and ranked as the most food-secure nation in the world by the Economic Intelligence’s Unit’s Global Food Security Index in 2019, a study published by The Food Bank and the Lien Centre for Social Innovation in 2020 revealed that about one in 10 households experienced food insecurity at least once in 12 months. ,With the rising cost of living and Singapore experiencing its highest inflationary environment in 14 years, FPG is hoping to partner with its customers from all walks of life to ensure food security for all in Singapore. ,“Helping the vulnerable in the community is a team effort and FPG is keen to partner our Link members in this,” said Alvin Neo, Chief Customer Marketing Officer, FairPrice Group and Managing Director, NTUC Link. “It is our hope that the ease of donating Linkpoints via the FPG app will encourage more folks to pitch in for the community. Because if even a portion of Link’s 2.4 million members donate their Linkpoints for good, collectively, it will go a long way towards ensuring that the most needy families in Singapore don’t go to bed hungry.”,Robin C. Lee, CEO of FFTH, said, “We appreciate this initiative by FPG to help alleviate hunger in Singapore in a seamless, easy way that anyone can contribute to make a difference. By coming together, we can create a positive impact on vulnerable communities and take a step towards a more equitable society.”,Nichol Ng, co-Founder of FBSG, said, “We have all been affected by the rising costs of living. At Food Bank Singapore, we believe that food is a basic human right and no one should be deprived of the ability to feed themselves. We hope that this initiative will encourage more donations and help us reduce food insecurity in Singapore.” ,Donating through the FairPrice Group app,From 12 June, 2.4 million Link members will be able to use this new feature to donate Linkpoints to selected beneficiaries. Members may donate in denominations of S$5 or S$10, with the conversion rate being 100 Linkpoints to S$1. The process will be seamlessly integrated into the FPG app ecosystem so users can easily donate their accumulated loyalty points from the Link Rewards Programme to the selected beneficiaries. ,Link members would simply need to click into the “Rewards” tile to find the “Do Good” category, indicate their charity of choice and the amount to be donated. At the end of each month, the donated Linkpoints will be converted to the equivalent monetary amount and disbursed to the beneficiary organisations. ,Rewards on the FairPrice Group app,This latest functionality which allows users to donate Linkpoints with ease, and builds on the “Rewards” feature, was launched early this year. “Rewards” on the FPG app has provided members with more ways to use their Linkpoints – to get instant savings and better value on their rewards.,In 2022, FPG continued to support FBSG and FFTH through the donation of unsold food worth S$243,000. This helped to benefit more than 5,400 beneficiaries under the two charities.",fairpricegroup.com.sg,https://www.fairpricegroup.com.sg/media-and-reports/press-releases/,sg,2023-07-08 18:19:59.438227,2023-07-08 18:19:59.438227,thumbnail
url,title,date,description,category,categoryId,content,source,source_url,countries,createdAt,updatedAt,thumbnail
https://www.fairpricegroup.com.sg/media-and-reports/press-releases/fairprice-group-to-augment-governments-latest-cost-of-living-cash-payouts/,FairPrice Group to augment Government’s latest cost-of-living cash payouts,16 June 2023,"Three months’ worth of stackable discounts on fresh and frozen food, daily essentials and personal and household products,50 cents Kopi and Teh available for Link members using the FairPrice Group App to pay across participating Kopitiam outlets till 3 August.",Press Releases,Uncategorized,"Singapore, 16 June 2023 ,– FairPrice Group (FPG) is leaving no stone unturned when helping customers cope with the unprecedented rising cost of living. FPG announced that from 15 June to 13 September, customers would be able to tap into over $2,000 worth of savings each through its Save Every Day campaign. ,Vipul Chawla, Group CEO, FairPrice Group,, said, “FPG’s Save Every Day campaign helps Singaporeans stretch their dollar.  Moderating the cost of living is FPG’s first order of business. We understand the pressures of inflation on household incomes and remain committed to keeping food and daily essentials readily available and within reach for all our customers.”,The Save Every Day campaign offers up to 400 discount coupons on a wide range of daily essentials and can be used over and above existing promotions, discounts, and member rebates. Customers can collect physical coupons in-store or activate the vouchers for purchases made online and on the FPG app.,In its third run, it is expected that more shoppers will shop both in stores and online, and via the FPG app. With inflation inching up steadily, the Save Every Day campaign saw a steady increase in redemptions from 184,000 in 2021 to 230,000 in 2022. This year, with food inflation hovering around seven per cent, FPG expects even more customers to utilise the coupons during the three-month programme across selected fresh and frozen food, daily essentials, personal and household products, and even food items at participating Kopitiam outlets.,In addition to savings from the Save Every Day campaign, FairPrice Group app users can also look out for deals via the 50 days of savings campaign from 15 June to 3 August 2023. Users can enjoy savings when buying FairPrice Housebrand products, online grocery shopping and redeeming rewards – all within the FairPrice Group app. FPG will also extend its popular 50cents kopi and teh to users who use the FairPrice Group app to pay at participating Kopitiam outlets through to 3 August. ,Both the Save Every Day campaign and 50 days of savings campaign follow FPG’s May Day 2023 offerings where savings and discounts worth up to $2 million were rolled out to all union members and Link members.,Goh Yen Ting, 37 years old, is an office worker who uses the FairPrice Group app at least once a week while on her grocery runs. “It’s very convenient to shop and pay with the FairPrice Group app. Although I only shop for groceries once a week, I’m really grateful for the discounts offered on essentials and also for my favourite tea-time kueh and 50 cents kopi.”,In 2022, FPG’s value programmes for customers provided savings of $11.5 million. These discounts at FairPrice supermarkets continue into 2023: ,To help Singaporeans cope with the higher cost of living and cushion the impact of the GST increase, the Government has been rolling out support measures such as Cost of Living cash payouts and the GST Voucher Scheme. Singaporeans can visit go.gov.sg/assurancepackage to check on their eligibility.,###",fairpricegroup.com.sg,https://www.fairpricegroup.com.sg/media-and-reports/press-releases/,sg,2023-07-08 18:27:19.213751,2023-07-08 18:27:19.213751,thumbnail
https://www.fairpricegroup.com.sg/media-and-reports/press-releases/socially-conscious-enterprise-hawker-centre-managed-by-kopitiam-served-more-than-1-million-meals-since-its-opening-in-december-2022/,Socially-conscious enterprise hawker centre managed by Kopitiam served more than 1 million meals since its opening in December 2022,13 June 2023,"Launch of community social space, Zhenghua Connects, to better engage residents through various activities such as gardening and reading",Press Releases,Uncategorized,"SINGAPORE, 10 June 2023 ,– Kopitiam, part of the FairPrice Group (FPG) today announced that since the soft opening of Senja Hawker Centre in late 2022, it has served more than 1 million meals within its sixth month of operations. Since then, the hawker centre has also enjoyed good footfall.,The socially-conscious enterprise hawker centre honours its purpose of ensuring sustainability within the hawker trade with the launch of community social space ,Zhenghua Connects,. The official opening was graced by Guest-of-Honour, Dr Vivian Balakrishnan, Minister for Foreign Affairs and Advisor to Holland-Bukit Timah GRC. Other guests include Advisers to Holland-Bukit Timah GRC Ms Sim Ann and Mr Edward Chia, and Adviser to Bukit Panjang SMC Mr Liang Eng Hwa.,Senja Hawker Centre’s footfall is set to increase with this new launch. Zhenghua Connects includes an event plaza, a community garden and a community library, all situated within Senja Hawker Centre. The event plaza had hosted more than 20 community events since December 2022. They include Digital Clinics for senior citizens by the Infocomm Media Development Authority and Food Rescue fairs. Residents can expect more of such activities which bring vibrancy to the community.  FPG will work closely with grassroots organisations and the People’s Association to bring more of such activities to residents. Upcoming activities include fitness activities, community performances and weekend markets. ,Vipul Chawla, Group CEO, FairPrice Group, ,said, “Hawker centres are an integral part of our lives in Singapore, providing fast, tasty, nutritious and affordable food to all. While FairPrice Group continues on our social mission to moderate the cost of living, we are also dedicated to bringing communities together in meaningful ways such as fostering co-creation of community activities at our hawker centres. With the launch of Zhenghua Connects at Senja Hawker Centre, we are creating community opportunities and experiences around food for residents and businesses.”,Nurturing urban farming at the Community Garden @ Level 3,In an effort to promote sustainable living practices in the community, Kopitiam is working with City Sprouts to launch the Senja Urban Farm Project – an edible community rooftop garden. To kickstart the project, Kopitiam is partnering with West Spring Secondary School to conduct a series of gardening courses for their students to hone their green thumbs. Residents can also look forward to signing up and participating in activities and classes to be held at the garden.,Information on upcoming activities can be found on Kopitiam’s Facebook page or gleaned from digital screens within Senja Hawker Centre.,Ground-up Community Library to foster reading,In addition to the mentioned features, Senja Hawker Centre also has a community library, initiated by Zhenghua Citizens’ Consultative Committee. The library is dedicated to promoting the joy of reading among residents and fostering sustainability by encouraging book donations and promoting a circular economy mindset.,###,About FairPrice Group,FairPrice Group was established in 2019 through the formation of four entities comprising NTUC FairPrice, Kopitiam, NTUC Foodfare and NTUC Link, with the purpose of making life better for all and to fulfil a vision of being a leader in everything food. FairPrice Group looks to optimise the resources of all four social enterprises and leverage their respective strengths to put customers first, provide better value for all and to make everything about food easy.,With an extensive network of close to 570 touchpoints, FairPrice Group seeks to provide an integrated array of products and services, from groceries, ready-to-cook, and ready-to-eat offerings, to on-premise meals, food take-aways, and a rewards programme that delivers personalised and delightful experiences.,For more information on FairPrice Group, visit, ,www.fairpricegroup.com.sg,.,About Kopitiam,Since 1988, Kopitiam has established itself as the market leader in the local F&B industry with an impressive portfolio of 77 outlets island-wide, that includes the iconic Lau Pa Sat Festival Market. Each strategically located outlet offers convenience, a comfortable dining setting with a wide variety of affordable and delectable food choices to provide a holistic dining experience for our patrons. A pioneer in cashless dining, Kopitiam is constantly innovating with the implementation of technological initiatives and rewards programmes to increase productivity and promote social graciousness. With the formation of FairPrice Group, Kopitiam as a social enterprise was repositioned as the B2C brand managing coffee shops, food courts, hawker centre management and other retail food establishments.,About City Sprouts, City Sprouts is a social enterprise that aims to inspire and rejuvenate urban communities through sprouting green spaces and programs. An awardee of SG Eco Fund 2021 and member of raiSE, City Sprouts redevelop and transform defunct spaces into an urban farming concept. Through its curated space activation and programs, City Sprouts hopes to educate and inspire the community to be more aware and engaged in social and environmental issues together.",fairpricegroup.com.sg,https://www.fairpricegroup.com.sg/media-and-reports/press-releases/,sg,2023-07-08 18:27:19.461609,2023-07-08 18:27:19.461609,thumbnail
https://www.fairpricegroup.com.sg/media-and-reports/press-releases/fairprice-group-tackles-hunger-and-food-insecurity-in-singapore-one-linkpoint-at-a-time/,FairPrice Group tackles hunger and food insecurity in Singapore one Linkpoint at a time,12 June 2023,FairPrice Group customers empowered to donate their Linkpoints to two local food-related charities through the FairPrice Group app from now to 31 December 2023,Press Releases,Uncategorized,"Singapore, 12 June 2023 –  ,FairPrice Group (FPG) today announced that customers may now donate their accumulated Linkpoints to charity via a new function within the FPG app. Through the Rewards tab on the app, users can now donate their Linkpoints to Food Bank Singapore (FBSG) and Food From The Heart (FFTH), charities that aim to alleviate hunger in Singapore. ,While Singapore is one of the most prosperous nations globally, and ranked as the most food-secure nation in the world by the Economic Intelligence’s Unit’s Global Food Security Index in 2019, a study published by The Food Bank and the Lien Centre for Social Innovation in 2020 revealed that about one in 10 households experienced food insecurity at least once in 12 months. ,With the rising cost of living and Singapore experiencing its highest inflationary environment in 14 years, FPG is hoping to partner with its customers from all walks of life to ensure food security for all in Singapore. ,“Helping the vulnerable in the community is a team effort and FPG is keen to partner our Link members in this,” said Alvin Neo, Chief Customer Marketing Officer, FairPrice Group and Managing Director, NTUC Link. “It is our hope that the ease of donating Linkpoints via the FPG app will encourage more folks to pitch in for the community. Because if even a portion of Link’s 2.4 million members donate their Linkpoints for good, collectively, it will go a long way towards ensuring that the most needy families in Singapore don’t go to bed hungry.”,Robin C. Lee, CEO of FFTH, said, “We appreciate this initiative by FPG to help alleviate hunger in Singapore in a seamless, easy way that anyone can contribute to make a difference. By coming together, we can create a positive impact on vulnerable communities and take a step towards a more equitable society.”,Nichol Ng, co-Founder of FBSG, said, “We have all been affected by the rising costs of living. At Food Bank Singapore, we believe that food is a basic human right and no one should be deprived of the ability to feed themselves. We hope that this initiative will encourage more donations and help us reduce food insecurity in Singapore.” ,Donating through the FairPrice Group app,From 12 June, 2.4 million Link members will be able to use this new feature to donate Linkpoints to selected beneficiaries. Members may donate in denominations of S$5 or S$10, with the conversion rate being 100 Linkpoints to S$1. The process will be seamlessly integrated into the FPG app ecosystem so users can easily donate their accumulated loyalty points from the Link Rewards Programme to the selected beneficiaries. ,Link members would simply need to click into the “Rewards” tile to find the “Do Good” category, indicate their charity of choice and the amount to be donated. At the end of each month, the donated Linkpoints will be converted to the equivalent monetary amount and disbursed to the beneficiary organisations. ,Rewards on the FairPrice Group app,This latest functionality which allows users to donate Linkpoints with ease, and builds on the “Rewards” feature, was launched early this year. “Rewards” on the FPG app has provided members with more ways to use their Linkpoints – to get instant savings and better value on their rewards.,In 2022, FPG continued to support FBSG and FFTH through the donation of unsold food worth S$243,000. This helped to benefit more than 5,400 beneficiaries under the two charities.",fairpricegroup.com.sg,https://www.fairpricegroup.com.sg/media-and-reports/press-releases/,sg,2023-07-08 18:27:19.769433,2023-07-08 18:27:19.769433,thumbnail
url,title,date,description,category,categoryId,content,source,source_url,countries,createdAt,updatedAt,thumbnail
https://www.fairpricegroup.com.sg/media-and-reports/press-releases/fairprice-group-to-augment-governments-latest-cost-of-living-cash-payouts/,FairPrice Group to augment Government’s latest cost-of-living cash payouts,16 June 2023,"Three months’ worth of stackable discounts on fresh and frozen food, daily essentials and personal and household products,50 cents Kopi and Teh available for Link members using the FairPrice Group App to pay across participating Kopitiam outlets till 3 August.",Press Releases,Uncategorized,"Singapore, 16 June 2023 ,– FairPrice Group (FPG) is leaving no stone unturned when helping customers cope with the unprecedented rising cost of living. FPG announced that from 15 June to 13 September, customers would be able to tap into over $2,000 worth of savings each through its Save Every Day campaign. ,Vipul Chawla, Group CEO, FairPrice Group,, said, “FPG’s Save Every Day campaign helps Singaporeans stretch their dollar.  Moderating the cost of living is FPG’s first order of business. We understand the pressures of inflation on household incomes and remain committed to keeping food and daily essentials readily available and within reach for all our customers.”,The Save Every Day campaign offers up to 400 discount coupons on a wide range of daily essentials and can be used over and above existing promotions, discounts, and member rebates. Customers can collect physical coupons in-store or activate the vouchers for purchases made online and on the FPG app.,In its third run, it is expected that more shoppers will shop both in stores and online, and via the FPG app. With inflation inching up steadily, the Save Every Day campaign saw a steady increase in redemptions from 184,000 in 2021 to 230,000 in 2022. This year, with food inflation hovering around seven per cent, FPG expects even more customers to utilise the coupons during the three-month programme across selected fresh and frozen food, daily essentials, personal and household products, and even food items at participating Kopitiam outlets.,In addition to savings from the Save Every Day campaign, FairPrice Group app users can also look out for deals via the 50 days of savings campaign from 15 June to 3 August 2023. Users can enjoy savings when buying FairPrice Housebrand products, online grocery shopping and redeeming rewards – all within the FairPrice Group app. FPG will also extend its popular 50cents kopi and teh to users who use the FairPrice Group app to pay at participating Kopitiam outlets through to 3 August. ,Both the Save Every Day campaign and 50 days of savings campaign follow FPG’s May Day 2023 offerings where savings and discounts worth up to $2 million were rolled out to all union members and Link members.,Goh Yen Ting, 37 years old, is an office worker who uses the FairPrice Group app at least once a week while on her grocery runs. “It’s very convenient to shop and pay with the FairPrice Group app. Although I only shop for groceries once a week, I’m really grateful for the discounts offered on essentials and also for my favourite tea-time kueh and 50 cents kopi.”,In 2022, FPG’s value programmes for customers provided savings of $11.5 million. These discounts at FairPrice supermarkets continue into 2023: ,To help Singaporeans cope with the higher cost of living and cushion the impact of the GST increase, the Government has been rolling out support measures such as Cost of Living cash payouts and the GST Voucher Scheme. Singaporeans can visit go.gov.sg/assurancepackage to check on their eligibility.,###",fairpricegroup.com.sg,https://www.fairpricegroup.com.sg/media-and-reports/press-releases/,sg,2023-07-08 18:28:46.407041,2023-07-08 18:28:46.407041,https://www.fairpricegroup.com.sg/media-and-reports/press-releases/fairprice-group-to-augment-governments-latest-cost-of-living-cash-payouts/logo
